country,year,electricity-only emissions incl autoprod
AT,1990,10.48190241188283
AT,1991,11.052861343628344
AT,1992,8.084143893911545
AT,1993,7.924006855815185
AT,1994,8.198995883726132
AT,1995,9.316848973753045
AT,1996,10.117842324197001
AT,1997,10.164304895392013
AT,1998,9.163673746171156
AT,1999,9.185852951080394
AT,2000,9.027908893906487
AT,2001,10.303751927288682
AT,2002,9.651697446401968
AT,2003,11.894534582052799
AT,2004,11.41871223571946
AT,2005,11.675980992845865
AT,2006,10.61973530219155
AT,2007,9.548857809724064
AT,2008,9.415819137684055
AT,2009,8.460704667406205
AT,2010,9.568402135532168
AT,2011,9.145641666932615
AT,2012,7.82848930275189
AT,2013,6.939253737963448
AT,2014,5.65909321626579
AT,2015,6.489190072745979
AT,2016,6.270863675303643
AT,2017,6.910432814442971
AT,2018,6.0934058956583605
BE,1990,23.206092930960644
BE,1991,24.001455292230425
BE,1992,22.786209979826076
BE,1993,22.992911622493523
BE,1994,24.05315750439091
BE,1995,23.832696876295284
BE,1996,22.640772849835145
BE,1997,21.810266790689813
BE,1998,24.452195402948355
BE,1999,20.988736509544445
BE,2000,22.692771223184895
BE,2001,20.62940903242277
BE,2002,21.963871004330198
BE,2003,22.655258380428027
BE,2004,23.472136819288167
BE,2005,23.85405937203708
BE,2006,22.217095717105657
BE,2007,21.67107286134289
BE,2008,19.621026372308126
BE,2009,19.93254513945063
BE,2010,20.422437706428376
BE,2011,17.58552516021001
BE,2012,17.143341278136287
BE,2013,15.938591536372353
BE,2014,14.662930325886718
BE,2015,15.39200230634433
BE,2016,14.425344775365621
BE,2017,14.532674966197211
BE,2018,14.572611216256632
BG,1990,23.181276531857648
BG,1991,19.62480278572502
BG,1992,20.539073811607267
BG,1993,21.541482267333645
BG,1994,19.953019336077503
BG,1995,20.24100418655678
BG,1996,20.040236027145912
BG,1997,25.434813566531563
BG,1998,24.661257103560757
BG,1999,20.826790350508812
BG,2000,21.00646442792763
BG,2001,24.698510935576362
BG,2002,22.198287162999936
BG,2003,23.7935974420206
BG,2004,23.601085050384132
BG,2005,23.945546659537538
BG,2006,24.185512820528903
BG,2007,26.84890195561978
BG,2008,27.746353583586686
BG,2009,25.31699274774383
BG,2010,27.42415045219687
BG,2011,32.0896297242571
BG,2012,27.28958506417842
BG,2013,23.345773518070864
BG,2014,25.106970387938304
BG,2015,26.22734485208714
BG,2016,23.118847312376417
BG,2017,24.617747995969506
BG,2018,21.0979673036777
CY,1990,1.67577
CY,1991,1.7380499999999999
CY,1992,2.03167
CY,1993,2.16527
CY,1994,2.25869
CY,1995,2.07592
CY,1996,2.19687
CY,1997,2.3215500000000002
CY,1998,2.55069
CY,1999,2.7198800000000003
CY,2000,2.8504
CY,2001,2.78311
CY,2002,2.89145
CY,2003,3.1178900000000005
CY,2004,3.257780000000001
CY,2005,3.4718400000000003
CY,2006,3.65338
CY,2007,3.80167
