country,year,electricity-only emissions
AT,1990,8.477284060493162
AT,1991,8.763879146536176
AT,1992,6.2015202168803025
AT,1993,6.072978275987643
AT,1994,5.969601509837286
AT,1995,6.8631501451379275
AT,1996,7.535010615831729
AT,1997,7.754030870056124
AT,1998,6.977772714639812
AT,1999,7.149299958732615
AT,2000,7.284685682834243
AT,2001,8.442278897996669
AT,2002,7.918465453060442
AT,2003,9.866056486307283
AT,2004,9.342354624163363
AT,2005,9.615275140553031
AT,2006,8.652254142408875
AT,2007,7.698749084841963
AT,2008,7.641594873157739
AT,2009,6.887238954203629
AT,2010,7.689465871828738
AT,2011,7.200391843099886
AT,2012,6.338990086154609
AT,2013,5.572606395366253
AT,2014,4.504722414495905
AT,2015,5.252567714387145
AT,2016,5.146479711125467
AT,2017,5.687813208657511
AT,2018,4.918441455530384
BE,1990,22.25561284657632
BE,1991,23.024397844692302
BE,1992,21.798596446328876
BE,1993,21.99083828683594
BE,1994,23.017784292351227
BE,1995,22.79593908019052
BE,1996,21.7226937122489
BE,1997,21.10699323718347
BE,1998,23.563978359854335
BE,1999,20.270568994828135
BE,2000,22.196381041410575
BE,2001,20.188529351236717
BE,2002,21.61332202503015
BE,2003,22.256991404460834
BE,2004,23.064055185181378
BE,2005,23.324571062592316
BE,2006,21.671569317100662
BE,2007,21.046037318166064
BE,2008,18.739079730631886
BE,2009,19.438211693044156
BE,2010,19.610081966438823
BE,2011,16.707278750527927
BE,2012,16.046347525220543
BE,2013,14.835818334391247
BE,2014,13.378608189656541
BE,2015,13.927042021778536
BE,2016,13.296201990474968
BE,2017,13.330039640292943
BE,2018,13.041319499823645
BG,1990,26.396253784101905
BG,1991,19.28765575363591
BG,1992,18.341915122644075
BG,1993,19.64477414337305
BG,1994,18.423033455982495
BG,1995,18.908949207062093
BG,1996,18.761920782555265
BG,1997,24.344569855984712
BG,1998,23.24930066505164
BG,1999,19.74316831457623
BG,2000,20.174250280264243
BG,2001,23.91571486349685
BG,2002,21.43429935429247
BG,2003,22.5782934605948
BG,2004,22.692305131366435
BG,2005,23.093184704299766
BG,2006,23.301282971577624
BG,2007,25.754310446996925
BG,2008,27.294679517465887
BG,2009,25.136804430856664
BG,2010,27.203954782368537
BG,2011,31.835372180531184
BG,2012,27.058740866760935
BG,2013,23.137121408108598
BG,2014,24.92414743147406
BG,2015,25.981904230400627
BG,2016,22.813074923963164
BG,2017,24.25403310450566
BG,2018,20.748276931957182
CY,1990,1.67577
CY,1991,1.7380499999999999
CY,1992,2.03167
CY,1993,2.16527
CY,1994,2.25869
CY,1995,2.07592
CY,1996,2.19687
CY,1997,2.3215500000000002
CY,1998,2.55069
CY,1999,2.7198800000000003
CY,2000,2.8504
CY,2001,2.78311
CY,2002,2.89145
CY,2003,3.112232961426084
CY,2004,3.242200158042465
CY,2005,3.453121265736195
CY,2006,3.630878886163161
CY,2007,3.7407740414610173
CY,2008,3.913685681501427
CY,2009,3.941077479694934
CY,2010,3.8244112054880337
CY,2011,3.6742966440279154
CY,2012,3.515581867282173
CY,2013,2.794392714178846
CY,2014,2.9023172194191886
CY,2015,2.9875527496365364
CY,2016,3.2617707145572026
CY,2017,3.2463562370168146
CY,2018,3.2973888739715926
CZ,1990,40.813579016234236
CZ,1991,40.08301539472136
CZ,1992,39.40043683793189
CZ,1993,39.23864260447704
CZ,1994,40.08407426324631
CZ,1995,43.57125877305179
CZ,1996,45.26895212972674
CZ,1997,41.762155964027194
CZ,1998,40.670893490694624
CZ,1999,40.18980617501343
CZ,2000,42.91235501633651
CZ,2001,44.35117967931162
CZ,2002,43.49729755531975
CZ,2003,44.28917425473637
CZ,2004,44.30584521932856
CZ,2005,44.8594124568309
CZ,2006,44.49325504624696
CZ,2007,49.104243294404334
CZ,2008,43.15007884576998
CZ,2009,40.72066504524019
CZ,2010,43.210001634314054
CZ,2011,43.54263327843798
CZ,2012,41.32068006621251
CZ,2013,38.41540399616756
CZ,2014,37.5184696831995
CZ,2015,37.12352168036416
CZ,2016,37.21067253835647
CZ,2017,35.850555148022806
CZ,2018,35.84887886034758
DE,1990,266.6846313127138
DE,1991,259.7648123150983
DE,1992,253.45682631265782
DE,1993,246.13087128298903
DE,1994,248.51795054150713
DE,1995,246.80807990050485
DE,1996,262.89923743504147
DE,1997,253.13976468104627
DE,1998,257.5960108945887
DE,1999,252.57535232304625
DE,2000,273.03777652519693
DE,2001,287.71074547530696
DE,2002,290.33539940928637
DE,2003,297.82789101583575
DE,2004,291.60832425774885
DE,2005,287.9330419485951
DE,2006,290.09738357897925
DE,2007,294.2403199483199
DE,2008,281.6297841955147
DE,2009,262.47500522940504
DE,2010,270.52446234091406
DE,2011,269.0047044496628
DE,2012,286.3453318681644
DE,2013,289.38626121697547
DE,2014,274.13089118870255
DE,2015,261.21516904211285
DE,2016,254.59996703097949
DE,2017,234.21925263293224
DE,2018,220.4006298718938
DK,1990,18.22479463782132
DK,1991,26.048390322562888
DK,1992,20.806989258224682
DK,1993,21.48723258139742
DK,1994,25.058991753863292
DK,1995,20.984894179725547
DK,1996,31.548388864040092
DK,1997,23.311319187522
DK,1998,19.633519768710766
DK,1999,16.87286970298162
DK,2000,14.423294797697743
DK,2001,15.14184488155601
DK,2002,15.429991385810577
DK,2003,19.54260380551453
DK,2004,14.46998253469657
DK,2005,11.968745257895252
DK,2006,19.007324020029234
DK,2007,15.313891748716655
DK,2008,13.49874864716313
DK,2009,13.598807996332518
DK,2010,12.978607427163771
DK,2011,10.548241434120166
DK,2012,8.184406353088244
DK,2013,10.019725157772546
DK,2014,8.060318270325824
DK,2015,5.886663831353022
DK,2016,6.955266284479013
DK,2017,5.286797606242009
DK,2018,5.385265549487966
EE,1990,22.68857675460371
EE,1991,19.70532903296416
EE,1992,14.91326472802484
EE,1993,11.433045223243196
EE,1994,12.961890073046966
EE,1995,12.448668345920376
EE,1996,12.9257079820194
EE,1997,12.433949121150635
EE,1998,11.447964960403633
EE,1999,10.846176202857158
EE,2000,10.176797068486504
EE,2001,10.080585499460708
EE,2002,9.784449599491365
EE,2003,11.614940893755449
EE,2004,11.669974979948064
EE,2005,11.229789351189035
EE,2006,10.462330553116027
EE,2007,13.517831319177219
EE,2008,11.507589037283985
